ValueMeaning	LabelValueMeaning	DataElementConcept	dataelementconcept_lower
ICDO3:C11.2	Lateral wall of nasopharynx	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C11.3	Anterior wall of nasopharynx	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C11.3	Anterior wall of nasopharynx	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C11.3	Anterior wall of nasopharynx	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C11.8	Overlapping lesion of nasopharynx	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C11.8	Overlapping lesion of nasopharynx	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C11.8	Overlapping lesion of nasopharynx	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C11.9	Nasopharynx, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C11.9	Nasopharynx, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C11.9	Nasopharynx, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C12	PYRIFORM SINUS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C12	PYRIFORM SINUS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C12	PYRIFORM SINUS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C12.9	Pyriform sinus	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C12.9	Pyriform sinus	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C12.9	Pyriform sinus	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C13	HYPOPHARYNX	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C13	HYPOPHARYNX	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C13	HYPOPHARYNX	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C13.0	Postcricoid region	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C13.0	Postcricoid region	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C13.0	Postcricoid region	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C13.1	Hypopharyngeal aspect of aryepiglottic fold	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C13.1	Hypopharyngeal aspect of aryepiglottic fold	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C13.1	Hypopharyngeal aspect of aryepiglottic fold	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C13.2	Posterior wall of hypopharynx	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C13.2	Posterior wall of hypopharynx	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C13.2	Posterior wall of hypopharynx	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C13.8	Overlapping lesion of hypopharynx	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C13.8	Overlapping lesion of hypopharynx	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C13.8	Overlapping lesion of hypopharynx	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C13.9	Hypopharynx, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C13.9	Hypopharynx, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C13.9	Hypopharynx, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C14	OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C14	OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C14	OTHER AND ILL-DEFINED SITES IN LIP, ORAL CAVITY AND PHARYNX	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C14.0	Pharynx, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C14.0	Pharynx, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C14.0	Pharynx, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C14.2	Waldeyer ring	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C14.2	Waldeyer ring	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C14.2	Waldeyer ring	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C14.8	Overlapping lesion of lip, oral cavity and pharynx	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C14.8	Overlapping lesion of lip, oral cavity and pharynx	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C14.8	Overlapping lesion of lip, oral cavity and pharynx	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C15	ESOPHAGUS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C15	ESOPHAGUS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C15	ESOPHAGUS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C15.0	Cervical esophagus	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C15.0	Cervical esophagus	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C15.0	Cervical esophagus	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C15.1	Thoracic esophagus	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C15.1	Thoracic esophagus	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C15.1	Thoracic esophagus	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C15.2	Abdominal esophagus	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C15.2	Abdominal esophagus	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C15.2	Abdominal esophagus	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C15.3	Upper third of esophagus	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C15.3	Upper third of esophagus	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C15.3	Upper third of esophagus	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C15.4	Middle third of esophagus	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C15.4	Middle third of esophagus	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C15.4	Middle third of esophagus	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C15.5	Lower third of esophagus	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C15.5	Lower third of esophagus	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C15.5	Lower third of esophagus	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C15.8	Overlapping lesion of esophagus	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C15.8	Overlapping lesion of esophagus	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C15.8	Overlapping lesion of esophagus	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C15.9	Esophagus, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C15.9	Esophagus, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C15.9	Esophagus, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C16	STOMACH	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C16	STOMACH	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C16	STOMACH	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C16.0	Cardia, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C16.0	Cardia, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C16.0	Cardia, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C16.1	Fundus of stomach	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C16.1	Fundus of stomach	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C16.1	Fundus of stomach	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C16.2	Body of stomach	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C16.2	Body of stomach	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C16.2	Body of stomach	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C16.3	Gastric antrum	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C16.3	Gastric antrum	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C16.3	Gastric antrum	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C16.4	Pylorus	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C16.4	Pylorus	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C16.4	Pylorus	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C16.5	Lesser curvature of stomach, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C16.5	Lesser curvature of stomach, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C16.5	Lesser curvature of stomach, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C16.6	Greater curvature of stomach, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C16.6	Greater curvature of stomach, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C16.6	Greater curvature of stomach, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C16.8	Overlapping lesion of stomach	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C16.8	Overlapping lesion of stomach	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C16.8	Overlapping lesion of stomach	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C16.9	Stomach, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C16.9	Stomach, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C16.9	Stomach, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C17	SMALL INTESTINE	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C17	SMALL INTESTINE	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C17	SMALL INTESTINE	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C17.0	Duodenum	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C17.0	Duodenum	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C17.0	Duodenum	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C17.1	Jejunum	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C17.1	Jejunum	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C17.1	Jejunum	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C17.2	Ileum	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C17.2	Ileum	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C17.2	Ileum	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C17.3	Meckel diverticulum	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C17.3	Meckel diverticulum	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C17.3	Meckel diverticulum	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C17.8	Overlapping lesion of smallintestine	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C17.8	Overlapping lesion of smallintestine	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C17.8	Overlapping lesion of smallintestine	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C17.9	Small intestine, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C17.9	Small intestine, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C17.9	Small intestine, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18	COLON	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18	COLON	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18	COLON	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18.0	Cecum	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18.0	Cecum	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18.0	Cecum	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18.1	Appendix	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18.1	Appendix	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18.1	Appendix	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18.2	Ascending colon	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18.2	Ascending colon	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18.2	Ascending colon	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18.3	Hepatic flexure of colon	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18.3	Hepatic flexure of colon	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18.3	Hepatic flexure of colon	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18.4	Transverse colon	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18.4	Transverse colon	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18.4	Transverse colon	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18.5	Splenic flexure of colon	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18.5	Splenic flexure of colon	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18.5	Splenic flexure of colon	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18.6	Descending colon	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18.6	Descending colon	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18.6	Descending colon	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18.7	Sigmoid colon	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18.7	Sigmoid colon	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18.7	Sigmoid colon	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18.8	Overlapping lesion of colon	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18.8	Overlapping lesion of colon	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18.8	Overlapping lesion of colon	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C18.9	Colon, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C18.9	Colon, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C18.9	Colon, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C19	RECTOSIGMOID JUNCTION	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C19	RECTOSIGMOID JUNCTION	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C19	RECTOSIGMOID JUNCTION	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C19.9	Rectosigmoid junction	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C19.9	Rectosigmoid junction	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C19.9	Rectosigmoid junction	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C20	RECTUM	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C20	RECTUM	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C20	RECTUM	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C20.9	Rectum, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C20.9	Rectum, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C20.9	Rectum, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C21	ANUS AND ANAL CANAL	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C21	ANUS AND ANAL CANAL	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C21	ANUS AND ANAL CANAL	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C21.0	Anus, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C21.0	Anus, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C21.0	Anus, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C21.1	Anal canal	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C21.1	Anal canal	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C21.1	Anal canal	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C21.2	Cloacogenic zone	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C21.2	Cloacogenic zone	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C21.2	Cloacogenic zone	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C21.8	Overlapping lesion of rectum, anus and anal canal	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C21.8	Overlapping lesion of rectum, anus and anal canal	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C21.8	Overlapping lesion of rectum, anus and anal canal	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C22	LIVER AND INTRAHEPATIC BILE DUCTS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C22	LIVER AND INTRAHEPATIC BILE DUCTS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C22	LIVER AND INTRAHEPATIC BILE DUCTS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C22.0	Liver	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C22.0	Liver	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C22.0	Liver	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C22.1	Intrahepatic bile duct	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C22.1	Intrahepatic bile duct	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C22.1	Intrahepatic bile duct	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C23	GALLBLADDER	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C23	GALLBLADDER	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C23	GALLBLADDER	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C23.9	Gallbladder	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C23.9	Gallbladder	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C23.9	Gallbladder	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C24	OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C24	OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C24	OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C24.0	Extrahepatic bile duct	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C24.0	Extrahepatic bile duct	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C24.0	Extrahepatic bile duct	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C24.1	Ampulla of Vater	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C24.1	Ampulla of Vater	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C24.1	Ampulla of Vater	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C24.8	Overlapping lesion of biliary tract Note:	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C24.8	Overlapping lesion of biliary tract Note:	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C24.8	Overlapping lesion of biliary tract Note:	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C24.9	Biliary tract, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C24.9	Biliary tract, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C24.9	Biliary tract, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C25	PANCREAS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C25	PANCREAS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C25	PANCREAS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C25.0	Head of pancreas	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C25.0	Head of pancreas	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C25.0	Head of pancreas	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C25.1	Body of pancreas	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C25.1	Body of pancreas	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C25.1	Body of pancreas	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C25.2	Tail of pancreas	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C25.2	Tail of pancreas	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C25.2	Tail of pancreas	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C25.3	Pancreatic duct	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C25.3	Pancreatic duct	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C25.3	Pancreatic duct	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C25.4	Islets of Langerhans	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C25.4	Islets of Langerhans	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C25.4	Islets of Langerhans	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C25.7	Other specified parts of pancreas	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C25.7	Other specified parts of pancreas	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C25.7	Other specified parts of pancreas	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C25.8	Overlapping lesion of pancreas	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C25.8	Overlapping lesion of pancreas	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C25.8	Overlapping lesion of pancreas	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C25.9	Pancreas, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C25.9	Pancreas, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C25.9	Pancreas, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C26	OTHER AND ILL-DEFINED DIGESTIVE ORGANS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C26	OTHER AND ILL-DEFINED DIGESTIVE ORGANS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C26	OTHER AND ILL-DEFINED DIGESTIVE ORGANS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C26.0	Intestinal tract, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C26.0	Intestinal tract, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C26.0	Intestinal tract, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C26.8	Overlapping lesion of digestive system	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C26.8	Overlapping lesion of digestive system	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C26.8	Overlapping lesion of digestive system	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C26.9	Gastrointestinal tract, NOS	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C26.9	Gastrointestinal tract, NOS	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C26.9	Gastrointestinal tract, NOS	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C30	NASAL CAVITY AND MIDDLE EAR	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C30	NASAL CAVITY AND MIDDLE EAR	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C30	NASAL CAVITY AND MIDDLE EAR	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C30.0	Nasal cavity	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C30.0	Nasal cavity	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C30.0	Nasal cavity	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C30.1	Middle ear	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C30.1	Middle ear	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C30.1	Middle ear	BiologicalSample_TopographyCode	biologicalsample_topographycode
ICDO3:C31	ACCESSORY SINUSES	FamilyCancerHistory_TopographyCode	familycancerhistory_topographycode
ICDO3:C31	ACCESSORY SINUSES	TumorPathologyEvent_TopographyCode	tumorpathologyevent_topographycode
ICDO3:C31	ACCESSORY SINUSES	BiologicalSample_TopographyCode	biologicalsample_topographycode
